"","Zones","x","y"
"1","Zone 1",263.086751633287,25.0679038380431
"2","Zone 1",294.548677305344,676.894137494728
"3","Zone 1",623.973546106886,642.04808097849
"4","Zone 1",609.167934025918,14.8190636862084
"5","Zone 2",640.629859697976,10.7195276254746
"6","Zone 2",653.584770268823,646.147617039224
"7","Zone 2",966.353325479276,672.794601433994
"8","Zone 2",966.353325479276,23.0181358076761
